,0,1,2,3,4
CVSALUL,"('K6QO', 0.932815968990326)","('QBOL', 0.0412853471934795)","('PYUQ', 0.0140442373231053)","('GHYX', 0.0101536680012941)","('ECY3', 0.0004864865622948)"
4YK8AHG,"('RVSZ', 0.9998315572738647)","('PYUQ', 5.019802847527899e-05)","('N2MW', 3.264784754719585e-05)","('RIBP', 3.1946387025527656e-05)","('GHYX', 1.194380092783831e-05)"
V1D1V61,"('RVSZ', 0.999267280101776)","('PYUQ', 0.000279134575976)","('RIBP', 0.0001051806102623)","('GHYX', 9.33728224481456e-05)","('7POT', 9.034266258822754e-05)"
OFTTFVA,"('RVSZ', 0.8890498876571655)","('PYUQ', 0.0596608817577362)","('RIBP', 0.016605619341135)","('N2MW', 0.0138678038492798)","('GHYX', 0.0073342523537576)"
ZP4XRXH,"('RVSZ', 0.4887762069702148)","('QBOL', 0.1710909307003021)","('PYUQ', 0.0861511081457138)","('GHYX', 0.0715051293373107)","('ECY3', 0.0576147362589836)"
NMJLZ69,"('RVSZ', 0.9997085928916932)","('GHYX', 0.0001741993473842)","('N2MW', 4.235552114550956e-05)","('RIBP', 1.6303039956255816e-05)","('QBOL', 1.3881106497137807e-05)"
IF9FMGQ,"('QBOL', 0.8575344085693359)","('ECY3', 0.1051205247640609)","('GHYX', 0.0231644865125417)","('JWFN', 0.0044712536036968)","('PYUQ', 0.0026329513639211)"
UG4E9PD,"('J9JW', 0.9981637597084044)","('QBOL', 0.0012119138846173)","('PYUQ', 0.0003732469631358)","('RVSZ', 6.380423292284831e-05)","('GHYX', 5.524413427338004e-05)"
SLM9TVU,"('RVSZ', 0.9998493194580078)","('N2MW', 5.6048334954539314e-05)","('PYUQ', 3.212378214811906e-05)","('7POT', 1.841486664488912e-05)","('QBOL', 1.2243091077834832e-05)"
EX4RJUI,"('RVSZ', 0.9996598958969116)","('GHYX', 0.000184026081115)","('N2MW', 4.641071063815616e-05)","('66FJ', 3.252162059652619e-05)","('PYUQ', 3.0349785447469912e-05)"
RM83MX8,"('JZ9D', 0.9993584752082824)","('GHYX', 0.0002436061913613)","('BSTQ', 0.0001292253582505)","('QBOL', 0.0001289630017708)","('RVSZ', 8.464095299132168e-05)"
HRHRU0R,"('K6QO', 0.8116752505302429)","('QBOL', 0.1534194350242614)","('PYUQ', 0.015309477224946)","('GHYX', 0.0054051801562309)","('ECY3', 0.0050147697329521)"
5TPCQ92,"('K6QO', 0.914423942565918)","('PYUQ', 0.0536334104835987)","('QBOL', 0.0250105056911706)","('GHYX', 0.002034431323409)","('ECY3', 0.0015690790023654)"
VNTQ5OJ,"('RVSZ', 0.6330442428588867)","('GHYX', 0.1914537996053695)","('LJR9', 0.0310215521603822)","('7POT', 0.0296580363065004)","('PYUQ', 0.0272634625434875)"
YQL180J,"('RVSZ', 0.9998626708984376)","('GHYX', 9.028346539707854e-05)","('QBOL', 2.082393621094525e-05)","('JWFN', 5.629209226754028e-06)","('N2MW', 5.5709592743369285e-06)"
IXU4U3F,"('K6QO', 0.9978721141815186)","('QBOL', 0.0004626395821105)","('N2MW', 0.0004561557725537)","('PYUQ', 0.0004389178066048)","('GHYX', 0.0003024809120688)"
65L8ZEI,"('K6QO', 0.990026593208313)","('RIBP', 0.0037209966685622)","('PYUQ', 0.0025579193606972)","('GHYX', 0.0009067703504115)","('ECY3', 0.0006608701078221)"
PISADDO,"('K6QO', 0.9954016208648682)","('QBOL', 0.0040901098400354)","('GHYX', 0.000169621373061)","('ECY3', 7.569510489702225e-05)","('PYUQ', 4.6966779336798936e-05)"
ETO6FI5,"('RVSZ', 0.9994258880615234)","('GHYX', 0.0002099539415212)","('N2MW', 7.179157546488568e-05)","('7POT', 6.465750630013645e-05)","('QBOL', 5.770595817011781e-05)"
DM4HPC0,"('K6QO', 0.9988840222358704)","('QBOL', 0.0005380623042583)","('GHYX', 0.0002651876420713)","('N2MW', 6.963139458093792e-05)","('PYUQ', 5.242546831141226e-05)"
L8YJP9S,"('RVSZ', 0.6706691384315491)","('GHYX', 0.1007687747478485)","('SOP4', 0.0745457112789154)","('66FJ', 0.0539500415325164)","('QBOL', 0.038099031895399)"
52NTA43,"('K6QO', 0.7700278759002686)","('QBOL', 0.145043209195137)","('PYUQ', 0.0354902558028698)","('ECY3', 0.0108482232317328)","('N2MW', 0.0063202395103871)"
K9I5PJK,"('K6QO', 0.8898335695266724)","('QBOL', 0.090419016778469)","('GHYX', 0.0143797406926751)","('PYUQ', 0.0025039496831595)","('ECY3', 0.0006547949742525)"
6VP4W8Z,"('ECY3', 0.8774851560592651)","('K6QO', 0.0972539260983467)","('QBOL', 0.0081216776743531)","('N2MW', 0.0058778142556548)","('GHYX', 0.0038834421429783)"
Z2YWC78,"('K6QO', 0.9137784838676452)","('QBOL', 0.0681045725941658)","('PYUQ', 0.0072514778003096)","('ECY3', 0.0041572754271328)","('GHYX', 0.0032638560514897)"
AFX0PVD,"('RVSZ', 0.9999123811721802)","('PYUQ', 3.443186142249033e-05)","('GHYX', 9.887139640341047e-06)","('RIBP', 9.798303835850676e-06)","('QBOL', 7.3175342549802735e-06)"
RP8INPA,"('RIBP', 0.9808820486068726)","('8NN1', 0.0061455299146473)","('LJR9', 0.0031304832082241)","('PYUQ', 0.0024675824679434)","('QBOL', 0.0017704890342429)"
9H9YMIK,"('K6QO', 0.9445494413375854)","('QBOL', 0.0465922318398952)","('GHYX', 0.004591841250658)","('PYUQ', 0.0014265821082517)","('ECY3', 0.001105346949771)"
4SFOQH7,"('K6QO', 0.990152895450592)","('QBOL', 0.0072860959917306)","('GHYX', 0.0014154070522636)","('ECY3', 0.0001953807368408)","('N2MW', 0.0001823342026909)"
8JCGCPC,"('QBOL', 0.7675888538360596)","('GHYX', 0.1940598785877227)","('ECY3', 0.0078508080914616)","('N2MW', 0.0068830009549856)","('RIBP', 0.0066273608244955)"
HBNU2YT,"('GHYX', 0.3450865745544433)","('QBOL', 0.2706870138645172)","('ECY3', 0.2019306570291519)","('JWFN', 0.0708886831998825)","('RIBP', 0.0205554887652397)"
93M99O9,"('RVSZ', 0.9998225569725036)","('GHYX', 0.0001334561238763)","('QBOL', 1.3061069694231264e-05)","('RIBP', 8.169372449629009e-06)","('PYUQ', 4.9148961807077285e-06)"
MUQXKOY,"('RVSZ', 0.9994818568229676)","('GHYX', 0.000307964219246)","('PYUQ', 9.220116771757604e-05)","('QBOL', 4.514117244980298e-05)","('RIBP', 2.1557336367550303e-05)"
HQS5W27,"('RVSZ', 0.999831199645996)","('GHYX', 5.9349484217818826e-05)","('QBOL', 4.3311909394105896e-05)","('N2MW', 1.2309801604715176e-05)","('ECY3', 1.1490202268760186e-05)"
FIQRPS3,"('K6QO', 0.9931272268295288)","('QBOL', 0.0040574898011982)","('GHYX', 0.0011144751915708)","('PYUQ', 0.0010825742501765)","('ECY3', 0.0002106154570356)"
FHS7I0J,"('RVSZ', 0.9995635151863098)","('PYUQ', 0.0001919768401421)","('RIBP', 0.0001137483704951)","('N2MW', 4.277149128029123e-05)","('7POT', 3.567239036783576e-05)"
B7P1ZV5,"('N2MW', 0.9935898780822754)","('GHYX', 0.0023339653853327)","('RVSZ', 0.0019866442307829)","('PYUQ', 0.0006419182755053)","('QBOL', 0.000494762789458)"
FD8BL0R,"('RVSZ', 0.9993908405303956)","('GHYX', 0.0004352835821919)","('N2MW', 5.863013939233497e-05)","('66FJ', 3.391301288502291e-05)","('RIBP', 2.1781796021969058e-05)"
5WPM6O7,"('K6QO', 0.9993985891342164)","('QBOL', 0.0002226700598839)","('GHYX', 0.0001530767040094)","('66FJ', 3.497395300655626e-05)","('ECY3', 3.2627893233438954e-05)"
4H4TACH,"('K6QO', 0.8871679902076721)","('QBOL', 0.1009199693799018)","('PYUQ', 0.0058104651980102)","('GHYX', 0.0016070113051682)","('RIBP', 0.0012680582003667)"
GA7T35M,"('RVSZ', 0.9998058676719666)","('N2MW', 5.826600681757554e-05)","('GHYX', 3.5135897633153945e-05)","('QBOL', 3.3765223633963615e-05)","('RIBP', 2.1234638552414253e-05)"
M5KN0C6,"('K6QO', 0.9715293645858764)","('QBOL', 0.0152172669768333)","('GHYX', 0.0100692622363567)","('PYUQ', 0.0010692245559766)","('ECY3', 0.0007677173125557)"
LNCMJRZ,"('RIBP', 0.9848747849464417)","('7POT', 0.0078842369839549)","('8NN1', 0.0032405664678663)","('QBOL', 0.0014868129510432)","('66FJ', 0.0007378224399872)"
UUJ1MO7,"('RVSZ', 0.9989534616470336)","('GHYX', 0.0008391010342165)","('N2MW', 8.581461588619277e-05)","('RIBP', 4.830005491385237e-05)","('66FJ', 1.9848823285428807e-05)"
A7SWLWX,"('QBOL', 0.3945112526416778)","('K6QO', 0.3205726742744446)","('RIBP', 0.0578322038054466)","('LJR9', 0.0499652586877346)","('7POT', 0.0316119864583015)"
984BM2Z,"('RVSZ', 0.9997714161872864)","('PYUQ', 7.130543963285163e-05)","('QBOL', 5.698301902157255e-05)","('GHYX', 4.717813499155454e-05)","('RIBP', 2.4631599444546737e-05)"
2GKAWKU,"('K6QO', 0.7198967933654785)","('PYUQ', 0.1971065104007721)","('7POT', 0.0281198099255561)","('RIBP', 0.0188693907111883)","('ECY3', 0.0123865082859992)"
UX1T2X8,"('RVSZ', 0.9998626708984376)","('PYUQ', 4.101737431483343e-05)","('GHYX', 2.959438097605016e-05)","('QBOL', 2.3014916223473847e-05)","('N2MW', 1.0978466889355332e-05)"
0YNOCW5,"('RVSZ', 0.9739832282066344)","('PYUQ', 0.0109315048903226)","('GHYX', 0.0055926935747265)","('RIBP', 0.0037085043732076)","('QBOL', 0.0028290459886193)"
D4SVCJR,"('K6QO', 0.967351496219635)","('QBOL', 0.0157616082578897)","('GHYX', 0.0094885108992457)","('PYUQ', 0.0026172483339905)","('ECY3', 0.0010422616032883)"
C3VT449,"('K6QO', 0.991935968399048)","('QBOL', 0.0041242684237658)","('GHYX', 0.0032231218647211)","('JWFN', 0.0001295461697736)","('N2MW', 0.0001064815151039)"
6D65JZK,"('K6QO', 0.5761978626251221)","('QBOL', 0.3230820894241333)","('PYUQ', 0.0854318290948867)","('RIBP', 0.0043557016178965)","('ECY3', 0.0031703531276434)"
06XIR1O,"('K6QO', 0.9865998029708862)","('QBOL', 0.0054029868915677)","('ECY3', 0.0028657100629061)","('GHYX', 0.0020667696371674)","('7POT', 0.0009028784697875)"
CZRKSH7,"('RVSZ', 0.999800741672516)","('GHYX', 7.192179327830672e-05)","('N2MW', 4.566716233966872e-05)","('QBOL', 2.866200884454884e-05)","('PYUQ', 1.4823652236373164e-05)"
S4946WA,"('RVSZ', 0.9996416568756104)","('PYUQ', 0.0001281038566958)","('GHYX', 9.89674881566316e-05)","('QBOL', 6.415301322704181e-05)","('ECY3', 1.5968658772180788e-05)"
81FF25N,"('K6QO', 0.9573917388916016)","('QBOL', 0.0357901491224765)","('GHYX', 0.0024370648898184)","('PYUQ', 0.001446038717404)","('ECY3', 0.0010468428954482)"
NEHYFM0,"('K6QO', 0.6291236877441406)","('QBOL', 0.3311933577060699)","('PYUQ', 0.0200709663331508)","('ECY3', 0.0123596098273992)","('GHYX', 0.0021844718139618)"
23844G6,"('K6QO', 0.9977263808250428)","('QBOL', 0.0010702636791393)","('GHYX', 0.0006890218937769)","('P5DA', 0.0001185687215183)","('PYUQ', 0.0001111021629185)"
YE0G7N2,"('K6QO', 0.9859942197799684)","('QBOL', 0.0073487041518092)","('GHYX', 0.0040287105366587)","('ECY3', 0.000568650662899)","('PYUQ', 0.0005660756723955)"
BU1QCGZ,"('GHYX', 0.4549265801906585)","('N2MW', 0.2696880996227264)","('RVSZ', 0.2031783908605575)","('PYUQ', 0.0230397041887044)","('LJR9', 0.0158500038087368)"
FR2Q0AU,"('GHYX', 0.3874054253101349)","('BSTQ', 0.2641980051994324)","('PYUQ', 0.1440500766038894)","('ECY3', 0.1008505448698997)","('JWFN', 0.0483215227723121)"
6BUG7BL,"('7POT', 0.8646344542503357)","('JWFN', 0.0512953586876392)","('RIBP', 0.0226914174854755)","('QBOL', 0.0220285505056381)","('PYUQ', 0.0092330975458025)"
NUUKEYW,"('RVSZ', 0.9998087286949158)","('GHYX', 9.531373507343233e-05)","('QBOL', 3.556031151674688e-05)","('N2MW', 1.7729822502587922e-05)","('ECY3', 1.1224422451050486e-05)"
KA2G875,"('RVSZ', 0.9997602105140686)","('GHYX', 0.0001343333278782)","('PYUQ', 3.507122528390028e-05)","('QBOL', 1.85136068466818e-05)","('JWFN', 1.27468301798217e-05)"
LPJZSXX,"('RVSZ', 0.999815046787262)","('QBOL', 7.293764792848378e-05)","('GHYX', 4.763792458106764e-05)","('N2MW', 2.3585473172715865e-05)","('7POT', 1.1086077392974404e-05)"
0HUP7S9,"('QBOL', 0.7808892130851746)","('K6QO', 0.1818415969610214)","('ECY3', 0.0165280103683471)","('JWFN', 0.0034127261023968)","('GHYX', 0.0032671203371137)"
HEOU8EY,"('K6QO', 0.9987415671348572)","('QBOL', 0.0007675910019315)","('GHYX', 0.0001640708360355)","('N2MW', 9.436938853468746e-05)","('PYUQ', 5.684527786797844e-05)"
594WWFF,"('K6QO', 0.9990979433059692)","('QBOL', 0.0004505086690187)","('GHYX', 0.0002131520450348)","('ECY3', 4.412127236719243e-05)","('7POT', 3.374729567440227e-05)"
45Y3HQQ,"('RVSZ', 0.9997861981391908)","('GHYX', 0.0001188072710647)","('N2MW', 3.400060086278245e-05)","('ECY3', 1.5080497178132646e-05)","('QBOL', 1.1128912774438504e-05)"
23D0OIU,"('K6QO', 0.9879758954048156)","('QBOL', 0.0079255448654294)","('PYUQ', 0.001582488999702)","('P5DA', 0.0005241620820015)","('ECY3', 0.000384687911719)"
4E09PSC,"('RVSZ', 0.9983355402946472)","('GHYX', 0.0016002305783331)","('QBOL', 1.6505659004906192e-05)","('66FJ', 8.990357855509501e-06)","('RIBP', 7.809780981915537e-06)"
3SHB03T,"('RVSZ', 0.9999021291732788)","('GHYX', 3.998274769401178e-05)","('PYUQ', 1.4056241525395308e-05)","('QBOL', 1.0711368304328062e-05)","('JWFN', 5.93935874348972e-06)"
MVPH89Z,"('QBOL', 0.9617452025413512)","('ECY3', 0.0140383001416921)","('GHYX', 0.0131690874695777)","('JWFN', 0.0029810953419655)","('PYUQ', 0.0027220509946346)"
YLN9JIK,"('K6QO', 0.9926112294197084)","('GHYX', 0.0032356847077608)","('ECY3', 0.001199291087687)","('PYUQ', 0.00084321788745)","('RIBP', 0.0003886490885633)"
0MK267O,"('K6QO', 0.803280770778656)","('QBOL', 0.1077666729688644)","('PYUQ', 0.0754908621311187)","('GHYX', 0.0062496117316186)","('7POT', 0.0017713515553623)"
7017WET,"('RVSZ', 0.9997865557670592)","('PYUQ', 0.0001078881541616)","('RIBP', 1.879406772786752e-05)","('GHYX', 1.8569671738077886e-05)","('QBOL', 1.5978454030118883e-05)"
OXPDLFW,"('N2MW', 0.9779079556465148)","('66FJ', 0.0093757873401045)","('RVSZ', 0.0030802991241216)","('JZ9D', 0.0018865574384108)","('RIBP', 0.0013145930133759)"
BA0RV61,"('QBOL', 0.723239541053772)","('ECY3', 0.1878947615623474)","('JWFN', 0.0439306199550628)","('GHYX', 0.0189835578203201)","('PYUQ', 0.0141320684924721)"
W7MBBSG,"('K6QO', 0.9936595559120178)","('QBOL', 0.0051428447477519)","('GHYX', 0.0007029998814687)","('ECY3', 0.0001691553625278)","('JWFN', 0.0001018932161969)"
KZVH80K,"('K6QO', 0.8737432360649109)","('QBOL', 0.1021178662776947)","('GHYX', 0.0097070494666695)","('PYUQ', 0.0097026247531175)","('ECY3', 0.0017814596649259)"
YN1KMY8,"('RVSZ', 0.9997853636741638)","('PYUQ', 0.0001112381578423)","('GHYX', 4.022954817628488e-05)","('QBOL', 1.7739150280249305e-05)","('N2MW', 1.0690881026675925e-05)"
PJ22QTG,"('RVSZ', 0.5466648936271667)","('QBOL', 0.3087839484214782)","('RIBP', 0.0534134209156036)","('PYUQ', 0.0243874117732048)","('ECY3', 0.0176898073405027)"
IWEBT7X,"('RVSZ', 0.999671220779419)","('GHYX', 0.0001781562605174)","('PYUQ', 7.441517664119601e-05)","('N2MW', 1.8621225535753183e-05)","('66FJ', 1.617179805180058e-05)"
ONSNIPF,"('RVSZ', 0.9996042847633362)","('GHYX', 0.0002300463529536)","('QBOL', 6.052212484064512e-05)","('PYUQ', 2.1542238755500875e-05)","('LJR9', 1.9171286112396047e-05)"
WB57GU9,"('K6QO', 0.983997106552124)","('QBOL', 0.0058948313817381)","('GHYX', 0.0046880166046321)","('RIBP', 0.0037936286535114)","('ECY3', 0.0003918962902389)"
WASTCPR,"('RVSZ', 0.4925346076488495)","('QBOL', 0.1539382338523864)","('PYUQ', 0.0929426848888397)","('LJR9', 0.0682140886783599)","('GHYX', 0.0534778796136379)"
IHUV4RB,"('RVSZ', 0.9998438358306884)","('GHYX', 5.728777250624262e-05)","('QBOL', 2.1028396076872014e-05)","('N2MW', 1.894936758617405e-05)","('PYUQ', 1.3674553883902265e-05)"
GNPWQPF,"('RVSZ', 0.9998021721839904)","('GHYX', 0.0001261677534785)","('QBOL', 3.0749215511605144e-05)","('PYUQ', 7.331164852075744e-06)","('ECY3', 4.541551788861398e-06)"
JFYAISJ,"('RVSZ', 0.6982388496398926)","('PYUQ', 0.2102584093809127)","('QBOL', 0.0495729893445968)","('ECY3', 0.015514331869781)","('66FJ', 0.0108555359765887)"
4O0K63N,"('JZ9D', 0.999196231365204)","('QBOL', 0.0002483414136804)","('RVSZ', 0.0002048888127319)","('GHYX', 0.000155970963533)","('PYUQ', 7.797719445079565e-05)"
FD5XD99,"('RVSZ', 0.998015284538269)","('GHYX', 0.0019045056542381)","('QBOL', 4.650430491892621e-05)","('PYUQ', 1.2278693247935736e-05)","('N2MW', 3.657403794932179e-06)"
ACIJR56,"('RVSZ', 0.9998921155929564)","('GHYX', 5.371287625166588e-05)","('PYUQ', 1.101448833651375e-05)","('QBOL', 1.0107954949489796e-05)","('N2MW', 6.623107310588239e-06)"
WXM976T,"('K6QO', 0.994925856590271)","('GHYX', 0.0037375371903181)","('QBOL', 0.0004546073323581)","('ECY3', 0.0003602581564337)","('N2MW', 0.0002211199171142)"
B6S86DS,"('K6QO', 0.9076256155967712)","('QBOL', 0.0765214264392852)","('GHYX', 0.0059111486189067)","('PYUQ', 0.0025885067880153)","('P5DA', 0.0018265934195369)"
BMAGGIT,"('RVSZ', 0.9995365142822266)","('PYUQ', 0.0002391165908193)","('QBOL', 9.689843136584386e-05)","('GHYX', 9.223584493156524e-05)","('RIBP', 8.351745236723218e-06)"
JAJ70R2,"('JZ9D', 0.9972902536392212)","('QBOL', 0.0018240165663883)","('PYUQ', 0.0004116086347494)","('GHYX', 0.0002544438466429)","('RVSZ', 0.0001210373593494)"
5IA8HRL,"('66FJ', 0.7738054394721985)","('SOP4', 0.0844398885965347)","('RIBP', 0.0428030453622341)","('QBOL', 0.0336541831493377)","('K6QO', 0.0303822681307792)"
KQOEBSO,"('K6QO', 0.967011034488678)","('QBOL', 0.0168802496045827)","('GHYX', 0.0097309127449989)","('ECY3', 0.0012966298963874)","('P5DA', 0.0012245837133377)"
AY57UIR,"('JWFN', 0.7507626414299011)","('QBOL', 0.1434129029512405)","('PYUQ', 0.0317493416368961)","('ECY3', 0.0282196570187807)","('N2MW', 0.0190193392336368)"
Q1SV3XK,"('PYUQ', 0.521943211555481)","('RVSZ', 0.3472403883934021)","('QBOL', 0.1212109327316284)","('N2MW', 0.0014313051942735)","('7POT', 0.0010776484850794)"
PR404E2,"('RVSZ', 0.9145331978797911)","('QBOL', 0.0231515951454639)","('66FJ', 0.0194938313215971)","('ECY3', 0.0097695533186197)","('RIBP', 0.0094489585608243)"
4VEJKJJ,"('K6QO', 0.9700323343276978)","('GHYX', 0.0151854390278458)","('QBOL', 0.0116988364607095)","('PYUQ', 0.0007286213221959)","('ECY3', 0.0004336161655373)"
EKACARI,"('K6QO', 0.9919365644454956)","('QBOL', 0.0047978670336306)","('GHYX', 0.001602750387974)","('ECY3', 0.0008364517125301)","('N2MW', 0.0001801843609428)"
