ID X PCODE,Label,ID,PCODE
02FYLTA X J9JW,1.0,02FYLTA,J9JW
02FYLTA X GHYX,1.0,02FYLTA,GHYX
02FYLTA X JZ9D,0.9977887868881226,02FYLTA,JZ9D
02FYLTA X QBOL,0.0014682658948004244,02FYLTA,QBOL
02FYLTA X RVSZ,0.0004555540799628943,02FYLTA,RVSZ
02HPJFR X PYUQ,1.0,02HPJFR,PYUQ
02HPJFR X JZ9D,1.0,02HPJFR,JZ9D
02HPJFR X J9JW,0.9939150214195251,02HPJFR,J9JW
02HPJFR X GHYX,0.0030422701966017485,02HPJFR,GHYX
02HPJFR X QBOL,0.002265455899760127,02HPJFR,QBOL
02M3D5X X RVSZ,1.0,02M3D5X,RVSZ
02M3D5X X K6QO,0.908888578414917,02M3D5X,K6QO
02M3D5X X QBOL,0.06065865233540535,02M3D5X,QBOL
02M3D5X X PYUQ,0.01639394648373127,02M3D5X,PYUQ
02M3D5X X ECY3,0.004682913888245821,02M3D5X,ECY3
02PW4H1 X RVSZ,1.0,02PW4H1,RVSZ
02PW4H1 X K6QO,0.8442199826240541,02PW4H1,K6QO
02PW4H1 X PYUQ,0.07740912586450578,02PW4H1,PYUQ
02PW4H1 X QBOL,0.05084720626473427,02PW4H1,QBOL
02PW4H1 X ECY3,0.02231253869831562,02PW4H1,ECY3
02RM6T0 X RVSZ,1.0,02RM6T0,RVSZ
02RM6T0 X BSTQ,1.0,02RM6T0,BSTQ
02RM6T0 X J9JW,1.0,02RM6T0,J9JW
02RM6T0 X JZ9D,0.9930617213249208,02RM6T0,JZ9D
02RM6T0 X K6QO,0.0024398835375905037,02RM6T0,K6QO
02SG9CO X K6QO,1.0,02SG9CO,K6QO
02SG9CO X RVSZ,0.999829649925232,02SG9CO,RVSZ
02SG9CO X QBOL,6.951967225177215e-05,02SG9CO,QBOL
02SG9CO X GHYX,4.9615333409747116e-05,02SG9CO,GHYX
02SG9CO X AHXO,1.2808207429770844e-05,02SG9CO,AHXO
02X36LE X K6QO,1.0,02X36LE,K6QO
02X36LE X RVSZ,0.9998817443847656,02X36LE,RVSZ
02X36LE X QBOL,4.584449925459922e-05,02X36LE,QBOL
02X36LE X N2MW,2.3190446881926622e-05,02X36LE,N2MW
02X36LE X GHYX,1.067081575456541e-05,02X36LE,GHYX
02YKOCY X K6QO,1.0,02YKOCY,K6QO
02YKOCY X RVSZ,0.9993897676467896,02YKOCY,RVSZ
02YKOCY X GHYX,0.0002505712618585676,02YKOCY,GHYX
02YKOCY X PYUQ,0.0002335732424398884,02YKOCY,PYUQ
02YKOCY X N2MW,5.980355854262598e-05,02YKOCY,N2MW
036FAB5 X RVSZ,1.0,036FAB5,RVSZ
036FAB5 X QBOL,1.0,036FAB5,QBOL
036FAB5 X K6QO,0.9980608820915222,036FAB5,K6QO
036FAB5 X N2MW,0.000789246114436537,036FAB5,N2MW
036FAB5 X PYUQ,0.0003685150295495987,036FAB5,PYUQ
03DSJCK X K6QO,1.0,03DSJCK,K6QO
03DSJCK X RVSZ,0.9998916387557985,03DSJCK,RVSZ
03DSJCK X GHYX,3.69833578588441e-05,03DSJCK,GHYX
03DSJCK X ECY3,1.5699335563112978e-05,03DSJCK,ECY3
03DSJCK X QBOL,1.166812489827862e-05,03DSJCK,QBOL
03EZKDV X RVSZ,1.0,03EZKDV,RVSZ
03EZKDV X K6QO,0.648842453956604,03EZKDV,K6QO
03EZKDV X QBOL,0.2924785912036896,03EZKDV,QBOL
03EZKDV X ECY3,0.030211493372917175,03EZKDV,ECY3
03EZKDV X PYUQ,0.00869967695325613,03EZKDV,PYUQ
03G2BAR X RVSZ,1.0,03G2BAR,RVSZ
03G2BAR X K6QO,0.9548839926719666,03G2BAR,K6QO
03G2BAR X GHYX,0.03928375616669655,03G2BAR,GHYX
03G2BAR X QBOL,0.0043316888622939595,03G2BAR,QBOL
03G2BAR X PYUQ,0.0006885688635520638,03G2BAR,PYUQ
03KWDLZ X RVSZ,1.0,03KWDLZ,RVSZ
03KWDLZ X K6QO,0.9735036492347716,03KWDLZ,K6QO
03KWDLZ X QBOL,0.01654459722340107,03KWDLZ,QBOL
03KWDLZ X GHYX,0.004979710094630718,03KWDLZ,GHYX
03KWDLZ X PYUQ,0.0033714286983013157,03KWDLZ,PYUQ
03NNR8K X RVSZ,1.0,03NNR8K,RVSZ
03NNR8K X K6QO,1.0,03NNR8K,K6QO
03NNR8K X RIBP,0.9843873977661132,03NNR8K,RIBP
03NNR8K X 8NN1,0.004318732302635908,03NNR8K,8NN1
03NNR8K X QBOL,0.002032093703746796,03NNR8K,QBOL
03QC9G2 X K6QO,1.0,03QC9G2,K6QO
03QC9G2 X RVSZ,0.9998502731323242,03QC9G2,RVSZ
03QC9G2 X GHYX,4.865232767770067e-05,03QC9G2,GHYX
03QC9G2 X ECY3,2.1498279238585386e-05,03QC9G2,ECY3
03QC9G2 X QBOL,2.1303614630596712e-05,03QC9G2,QBOL
03R7AT6 X K6QO,1.0,03R7AT6,K6QO
03R7AT6 X RVSZ,0.9996838569641112,03R7AT6,RVSZ
03R7AT6 X GHYX,0.000136460192152299,03R7AT6,GHYX
03R7AT6 X PYUQ,4.159817035542801e-05,03R7AT6,PYUQ
03R7AT6 X QBOL,4.047496986459009e-05,03R7AT6,QBOL
03VI4XP X N2MW,1.0,03VI4XP,N2MW
03VI4XP X AHXO,0.9899489879608154,03VI4XP,AHXO
03VI4XP X RVSZ,0.002687044208869338,03VI4XP,RVSZ
03VI4XP X QBOL,0.001914224936626852,03VI4XP,QBOL
03VI4XP X GHYX,0.0014951396733522413,03VI4XP,GHYX
03ZPCOL X RVSZ,1.0,03ZPCOL,RVSZ
03ZPCOL X K6QO,0.9987213015556335,03ZPCOL,K6QO
03ZPCOL X QBOL,0.0008654252160340548,03ZPCOL,QBOL
03ZPCOL X N2MW,0.00010850790567928925,03ZPCOL,N2MW
03ZPCOL X GHYX,0.0001053306768881157,03ZPCOL,GHYX
0422IPL X RVSZ,1.0,0422IPL,RVSZ
0422IPL X PYUQ,1.0,0422IPL,PYUQ
0422IPL X QBOL,0.7619494795799255,0422IPL,QBOL
0422IPL X K6QO,0.16094747185707092,0422IPL,K6QO
0422IPL X RIBP,0.013239262625575066,0422IPL,RIBP
046IS3I X SOP4,1.0,046IS3I,SOP4
046IS3I X RVSZ,1.0,046IS3I,RVSZ
046IS3I X K6QO,0.4376372992992401,046IS3I,K6QO
046IS3I X QBOL,0.27933773398399353,046IS3I,QBOL
046IS3I X RIBP,0.10595133900642396,046IS3I,RIBP
048AA4C X RVSZ,1.0,048AA4C,RVSZ
048AA4C X ECY3,0.4619700908660889,048AA4C,ECY3
048AA4C X K6QO,0.443476676940918,048AA4C,K6QO
048AA4C X QBOL,0.047719892114400864,048AA4C,QBOL
048AA4C X GHYX,0.0271736104041338,048AA4C,GHYX
048LYCD X RVSZ,1.0,048LYCD,RVSZ
048LYCD X K6QO,0.8355357050895691,048LYCD,K6QO
048LYCD X QBOL,0.12831661105155945,048LYCD,QBOL
048LYCD X ECY3,0.010526807978749277,048LYCD,ECY3
048LYCD X PYUQ,0.009872234426438808,048LYCD,PYUQ
04DCBF3 X K6QO,1.0,04DCBF3,K6QO
04DCBF3 X RVSZ,0.9996167421340942,04DCBF3,RVSZ
04DCBF3 X PYUQ,0.00020034714543726293,04DCBF3,PYUQ
04DCBF3 X QBOL,0.00010015852603828534,04DCBF3,QBOL
04DCBF3 X GHYX,2.1395035219029527e-05,04DCBF3,GHYX
04DWKD4 X K6QO,1.0,04DWKD4,K6QO
04DWKD4 X RVSZ,0.9997863173484802,04DWKD4,RVSZ
04DWKD4 X N2MW,7.373993139481172e-05,04DWKD4,N2MW
04DWKD4 X QBOL,4.384214116726071e-05,04DWKD4,QBOL
04DWKD4 X GHYX,3.473713513812981e-05,04DWKD4,GHYX
04SIFN2 X 8NN1,1.0,04SIFN2,8NN1
04SIFN2 X 66FJ,0.4416831135749817,04SIFN2,66FJ
04SIFN2 X SOP4,0.3567948043346405,04SIFN2,SOP4
04SIFN2 X RVSZ,0.14898210763931274,04SIFN2,RVSZ
04SIFN2 X QBOL,0.016187896952033043,04SIFN2,QBOL
04SP4OW X RVSZ,1.0,04SP4OW,RVSZ
04SP4OW X K6QO,0.991724967956543,04SP4OW,K6QO
04SP4OW X GHYX,0.0054881712421774856,04SP4OW,GHYX
04SP4OW X QBOL,0.001462845946662128,04SP4OW,QBOL
04SP4OW X ECY3,0.0006358061800710857,04SP4OW,ECY3
04XMZ2U X K6QO,1.0,04XMZ2U,K6QO
04XMZ2U X RVSZ,0.9998667240142822,04XMZ2U,RVSZ
04XMZ2U X PYUQ,3.918055517715402e-05,04XMZ2U,PYUQ
04XMZ2U X GHYX,2.748503356997389e-05,04XMZ2U,GHYX
04XMZ2U X QBOL,1.5239566891978031e-05,04XMZ2U,QBOL
04YYLWS X JZ9D,1.0,04YYLWS,JZ9D
04YYLWS X J9JW,1.0,04YYLWS,J9JW
04YYLWS X BSTQ,0.6834934949874878,04YYLWS,BSTQ
04YYLWS X QBOL,0.2071516364812851,04YYLWS,QBOL
04YYLWS X PYUQ,0.036256678402423866,04YYLWS,PYUQ
04ZRR9E X K6QO,1.0,04ZRR9E,K6QO
04ZRR9E X QBOL,1.0,04ZRR9E,QBOL
04ZRR9E X RVSZ,0.9994226694107056,04ZRR9E,RVSZ
04ZRR9E X GHYX,0.00034143385710194707,04ZRR9E,GHYX
04ZRR9E X PYUQ,0.00017318394384346902,04ZRR9E,PYUQ
05DCREM X RVSZ,1.0,05DCREM,RVSZ
05DCREM X K6QO,0.7297334671020508,05DCREM,K6QO
05DCREM X QBOL,0.17733538150787356,05DCREM,QBOL
05DCREM X PYUQ,0.0672043040394783,05DCREM,PYUQ
05DCREM X GHYX,0.008544321171939373,05DCREM,GHYX
05KUXRO X RVSZ,1.0,05KUXRO,RVSZ
05KUXRO X K6QO,0.9974115490913392,05KUXRO,K6QO
05KUXRO X QBOL,0.0010599760571494699,05KUXRO,QBOL
05KUXRO X GHYX,0.0009151356643997133,05KUXRO,GHYX
05KUXRO X ECY3,0.00025944586377590895,05KUXRO,ECY3
05RMPTJ X QBOL,1.0,05RMPTJ,QBOL
05RMPTJ X PYUQ,0.6032354831695557,05RMPTJ,PYUQ
05RMPTJ X RVSZ,0.36621639132499695,05RMPTJ,RVSZ
05RMPTJ X GHYX,0.006299456115812063,05RMPTJ,GHYX
05RMPTJ X RIBP,0.004818357527256012,05RMPTJ,RIBP
05RZZ54 X K6QO,1.0,05RZZ54,K6QO
05RZZ54 X RVSZ,0.9995251893997192,05RZZ54,RVSZ
05RZZ54 X GHYX,0.00040485188947059214,05RZZ54,GHYX
05RZZ54 X JWFN,1.602841803105548e-05,05RZZ54,JWFN
05RZZ54 X QBOL,1.2741404134430924e-05,05RZZ54,QBOL
05T3YOQ X RVSZ,1.0,05T3YOQ,RVSZ
05T3YOQ X K6QO,0.7762645483016968,05T3YOQ,K6QO
05T3YOQ X QBOL,0.13509641587734222,05T3YOQ,QBOL
05T3YOQ X GHYX,0.07767751067876816,05T3YOQ,GHYX
05T3YOQ X PYUQ,0.0058802166022360325,05T3YOQ,PYUQ
064K5WX X K6QO,1.0,064K5WX,K6QO
064K5WX X RVSZ,0.9997913241386414,064K5WX,RVSZ
064K5WX X PYUQ,8.680224709678441e-05,064K5WX,PYUQ
064K5WX X N2MW,4.704119055531919e-05,064K5WX,N2MW
064K5WX X SOP4,1.5280938896466978e-05,064K5WX,SOP4
06D4TRM X AHXO,1.0,06D4TRM,AHXO
06D4TRM X N2MW,0.9800280332565308,06D4TRM,N2MW
06D4TRM X RVSZ,0.005917354952543974,06D4TRM,RVSZ
06D4TRM X GYSR,0.003615621943026781,06D4TRM,GYSR
06D4TRM X 66FJ,0.0035511073656380172,06D4TRM,66FJ
06DD0QG X K6QO,1.0,06DD0QG,K6QO
06DD0QG X RVSZ,0.9998700618743896,06DD0QG,RVSZ
06DD0QG X GHYX,4.10317225032486e-05,06DD0QG,GHYX
06DD0QG X QBOL,2.5922696295310747e-05,06DD0QG,QBOL
06DD0QG X ECY3,1.529477049189154e-05,06DD0QG,ECY3
06DGHW9 X 7POT,1.0,06DGHW9,7POT
06DGHW9 X RIBP,0.9822923541069032,06DGHW9,RIBP
06DGHW9 X 8NN1,0.009151540696620941,06DGHW9,8NN1
06DGHW9 X QBOL,0.002393446397036314,06DGHW9,QBOL
06DGHW9 X LJR9,0.00169679569080472,06DGHW9,LJR9
06M68A9 X RVSZ,1.0,06M68A9,RVSZ
06M68A9 X K6QO,0.9822714328765868,06M68A9,K6QO
06M68A9 X QBOL,0.0072055873461067685,06M68A9,QBOL
06M68A9 X GHYX,0.00295460456982255,06M68A9,GHYX
06M68A9 X RIBP,0.0027658254839479928,06M68A9,RIBP
06MNLFX X RVSZ,1.0,06MNLFX,RVSZ
06MNLFX X PYUQ,1.0,06MNLFX,PYUQ
06MNLFX X QBOL,1.0,06MNLFX,QBOL
06MNLFX X K6QO,0.9622187614440918,06MNLFX,K6QO
06MNLFX X GHYX,0.0135251060128212,06MNLFX,GHYX
06Q4MAS X QBOL,1.0,06Q4MAS,QBOL
06Q4MAS X RVSZ,0.3868108689785004,06Q4MAS,RVSZ
06Q4MAS X RIBP,0.34354367852211,06Q4MAS,RIBP
06Q4MAS X PYUQ,0.10760943591594696,06Q4MAS,PYUQ
06Q4MAS X SOP4,0.06387482583522798,06Q4MAS,SOP4
06QHRRL X RVSZ,1.0,06QHRRL,RVSZ
06QHRRL X K6QO,0.9936251640319824,06QHRRL,K6QO
06QHRRL X QBOL,0.0019181002862751484,06QHRRL,QBOL
06QHRRL X GHYX,0.0017804076196625829,06QHRRL,GHYX
06QHRRL X ECY3,0.000913775060325861,06QHRRL,ECY3
06XIR1O X RVSZ,1.0,06XIR1O,RVSZ
06XIR1O X K6QO,0.9884490370750428,06XIR1O,K6QO
06XIR1O X QBOL,0.0044348957017064095,06XIR1O,QBOL
06XIR1O X ECY3,0.002740852767601609,06XIR1O,ECY3
06XIR1O X GHYX,0.00161780824419111,06XIR1O,GHYX
071LVO0 X RVSZ,1.0,071LVO0,RVSZ
071LVO0 X QBOL,1.0,071LVO0,QBOL
071LVO0 X K6QO,0.9919362068176271,071LVO0,K6QO
071LVO0 X GHYX,0.004321770276874304,071LVO0,GHYX
071LVO0 X ECY3,0.0010298648849129677,071LVO0,ECY3
077F8WH X RVSZ,1.0,077F8WH,RVSZ
077F8WH X K6QO,0.5271120071411133,077F8WH,K6QO
077F8WH X QBOL,0.4556862115859986,077F8WH,QBOL
077F8WH X GHYX,0.005874619819223882,077F8WH,GHYX
077F8WH X PYUQ,0.004873255267739296,077F8WH,PYUQ
07B1EZ0 X RVSZ,1.0,07B1EZ0,RVSZ
07B1EZ0 X K6QO,0.9971290230751038,07B1EZ0,K6QO
07B1EZ0 X QBOL,0.0015197333414107561,07B1EZ0,QBOL
07B1EZ0 X GHYX,0.0008051569457165898,07B1EZ0,GHYX
07B1EZ0 X ECY3,0.00022651249310001734,07B1EZ0,ECY3
07Q8O3M X K6QO,1.0,07Q8O3M,K6QO
07Q8O3M X RVSZ,0.9999040365219116,07Q8O3M,RVSZ
07Q8O3M X QBOL,3.15604374918621e-05,07Q8O3M,QBOL
07Q8O3M X GHYX,2.077122371701989e-05,07Q8O3M,GHYX
07Q8O3M X PYUQ,9.720302841742523e-06,07Q8O3M,PYUQ
07QQ9ZW X QBOL,1.0,07QQ9ZW,QBOL
07QQ9ZW X PYUQ,0.8740745782852173,07QQ9ZW,PYUQ
07QQ9ZW X RVSZ,0.10139214247465134,07QQ9ZW,RVSZ
07QQ9ZW X GHYX,0.015944531187415126,07QQ9ZW,GHYX
07QQ9ZW X SOP4,0.0023711309768259525,07QQ9ZW,SOP4
07WIRAX X K6QO,1.0,07WIRAX,K6QO
07WIRAX X QBOL,1.0,07WIRAX,QBOL
07WIRAX X JZ9D,1.0,07WIRAX,JZ9D
07WIRAX X J9JW,1.0,07WIRAX,J9JW
07WIRAX X RVSZ,0.999544322490692,07WIRAX,RVSZ
0817G16 X K6QO,1.0,0817G16,K6QO
0817G16 X RVSZ,0.999632716178894,0817G16,RVSZ
0817G16 X GHYX,0.00028440923779271543,0817G16,GHYX
0817G16 X PYUQ,2.7697155019268397e-05,0817G16,PYUQ
0817G16 X QBOL,1.3582567589764947e-05,0817G16,QBOL
082TWMW X K6QO,1.0,082TWMW,K6QO
082TWMW X RVSZ,0.9997355341911316,082TWMW,RVSZ
082TWMW X GHYX,0.00017970404587686062,082TWMW,GHYX
082TWMW X PYUQ,2.422478974040132e-05,082TWMW,PYUQ
082TWMW X N2MW,1.4355875464389099e-05,082TWMW,N2MW
085IZXF X RVSZ,1.0,085IZXF,RVSZ
085IZXF X K6QO,1.0,085IZXF,K6QO
085IZXF X ECY3,0.6318367123603821,085IZXF,ECY3
085IZXF X QBOL,0.3401505053043365,085IZXF,QBOL
085IZXF X PYUQ,0.010806884616613388,085IZXF,PYUQ
08CV42L X RVSZ,1.0,08CV42L,RVSZ
08CV42L X K6QO,1.0,08CV42L,K6QO
08CV42L X J9JW,1.0,08CV42L,J9JW
08CV42L X ECY3,1.0,08CV42L,ECY3
08CV42L X JZ9D,0.9969024062156676,08CV42L,JZ9D
08FJR7U X RVSZ,1.0,08FJR7U,RVSZ
08FJR7U X K6QO,1.0,08FJR7U,K6QO
08FJR7U X QBOL,0.6043865084648132,08FJR7U,QBOL
08FJR7U X GHYX,0.34172338247299194,08FJR7U,GHYX
08FJR7U X RIBP,0.015931392088532448,08FJR7U,RIBP
08HIOKS X RVSZ,1.0,08HIOKS,RVSZ
08HIOKS X K6QO,1.0,08HIOKS,K6QO
08HIOKS X GHYX,1.0,08HIOKS,GHYX
08HIOKS X QBOL,0.7479724884033203,08HIOKS,QBOL
08HIOKS X ECY3,0.19349505007267,08HIOKS,ECY3
08ICG2N X K6QO,1.0,08ICG2N,K6QO
08ICG2N X RVSZ,0.9997517466545104,08ICG2N,RVSZ
08ICG2N X GHYX,6.731958274031058e-05,08ICG2N,GHYX
08ICG2N X 7POT,5.800781946163625e-05,08ICG2N,7POT
08ICG2N X QBOL,4.561304376693442e-05,08ICG2N,QBOL
08LR1LI X RVSZ,1.0,08LR1LI,RVSZ
08LR1LI X RIBP,0.98274028301239,08LR1LI,RIBP
08LR1LI X K6QO,0.008049312978982925,08LR1LI,K6QO
08LR1LI X 8NN1,0.003739942098036408,08LR1LI,8NN1
08LR1LI X QBOL,0.0014018163783475757,08LR1LI,QBOL
08OWYYV X RVSZ,1.0,08OWYYV,RVSZ
08OWYYV X K6QO,0.9994788765907288,08OWYYV,K6QO
08OWYYV X QBOL,0.00023065385175868866,08OWYYV,QBOL
08OWYYV X GHYX,7.524987449869514e-05,08OWYYV,GHYX
08OWYYV X ECY3,4.543798058875837e-05,08OWYYV,ECY3
08YG41J X K6QO,1.0,08YG41J,K6QO
08YG41J X RVSZ,0.9998131394386292,08YG41J,RVSZ
08YG41J X GHYX,3.5366876545595005e-05,08YG41J,GHYX
08YG41J X QBOL,2.681005935301073e-05,08YG41J,QBOL
08YG41J X SOP4,2.5014925995492373e-05,08YG41J,SOP4
0935ZEZ X K6QO,1.0,0935ZEZ,K6QO
0935ZEZ X RVSZ,0.998766541481018,0935ZEZ,RVSZ
0935ZEZ X GHYX,0.0011506314622238278,0935ZEZ,GHYX
0935ZEZ X QBOL,3.607728649512865e-05,0935ZEZ,QBOL
0935ZEZ X PYUQ,2.2827491193311292e-05,0935ZEZ,PYUQ
09JIV1G X 7POT,1.0,09JIV1G,7POT
09JIV1G X RIBP,0.8468677401542664,09JIV1G,RIBP
09JIV1G X 8NN1,0.11633601039648055,09JIV1G,8NN1
09JIV1G X 66FJ,0.015549732372164725,09JIV1G,66FJ
09JIV1G X QBOL,0.010700617916882038,09JIV1G,QBOL
09MTPA8 X RVSZ,1.0,09MTPA8,RVSZ
09MTPA8 X K6QO,0.9815003871917723,09MTPA8,K6QO
09MTPA8 X QBOL,0.008872437290847301,09MTPA8,QBOL
09MTPA8 X GHYX,0.005342388991266489,09MTPA8,GHYX
09MTPA8 X PYUQ,0.002013209741562605,09MTPA8,PYUQ
09RA9Y0 X K6QO,1.0,09RA9Y0,K6QO
09RA9Y0 X RVSZ,0.9993571639060974,09RA9Y0,RVSZ
09RA9Y0 X 7POT,0.00035475706681609154,09RA9Y0,7POT
09RA9Y0 X GHYX,0.00018577538139652458,09RA9Y0,GHYX
09RA9Y0 X PYUQ,3.1530125852441415e-05,09RA9Y0,PYUQ
0A02D88 X 7POT,1.0,0A02D88,7POT
0A02D88 X LJR9,0.8164303302764893,0A02D88,LJR9
0A02D88 X RIBP,0.07370404899120331,0A02D88,RIBP
0A02D88 X P5DA,0.05958578363060951,0A02D88,P5DA
0A02D88 X QBOL,0.0201309397816658,0A02D88,QBOL
0A3WIVV X K6QO,1.0,0A3WIVV,K6QO
0A3WIVV X RVSZ,0.9991841912269592,0A3WIVV,RVSZ
0A3WIVV X GHYX,0.0007633151835761964,0A3WIVV,GHYX
0A3WIVV X QBOL,1.820996476453729e-05,0A3WIVV,QBOL
0A3WIVV X PYUQ,1.4750788977835327e-05,0A3WIVV,PYUQ
0ABWVI7 X RVSZ,1.0,0ABWVI7,RVSZ
0ABWVI7 X K6QO,0.9823174476623536,0ABWVI7,K6QO
0ABWVI7 X GHYX,0.010692261159420012,0ABWVI7,GHYX
0ABWVI7 X QBOL,0.004995091352611779,0ABWVI7,QBOL
0ABWVI7 X ECY3,0.0005003703990951179,0ABWVI7,ECY3
0AJRVO7 X PYUQ,1.0,0AJRVO7,PYUQ
0AJRVO7 X QBOL,0.945097804069519,0AJRVO7,QBOL
0AJRVO7 X RVSZ,0.03411220759153366,0AJRVO7,RVSZ
0AJRVO7 X GHYX,0.009730393998324871,0AJRVO7,GHYX
0AJRVO7 X BSTQ,0.0020709233358502392,0AJRVO7,BSTQ
0AK1KMW X K6QO,1.0,0AK1KMW,K6QO
